model_name,num_runs,best_accuracy,best_accuracy_input_scheme,best_accuracy_run_dir,best_macro_f1,best_macro_f1_input_scheme,best_macro_f1_run_dir
densenet201,10,0.965034965034965,multibranch_13lead_individual,runs/densenet/20260622_232928_densenet201_multibranch_13lead_individual,0.9578288546610675,multibranch_13lead_individual,runs/densenet/20260622_232928_densenet201_multibranch_13lead_individual
efficientnet_v2_s,10,0.993006993006993,multibranch_13lead_individual,runs/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual,0.9916598304621274,multibranch_13lead_individual,runs/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual
mobilenet_v2,10,0.951048951048951,single_clean_image,runs/mobilenet/20260621_184656_mobilenet_v2_single_clean_image,0.9512345679012345,single_clean_image,runs/mobilenet/20260621_184656_mobilenet_v2_single_clean_image
resnet50,10,0.8881118881118881,stacked_13lead_individual,runs/resnet/20260622_060902_resnet50_stacked_13lead_individual,0.8908570148489504,stacked_13lead_individual,runs/resnet/20260622_060902_resnet50_stacked_13lead_individual
