global_rank_accuracy,global_rank_macro_f1,model_rank_accuracy,model_rank_macro_f1,model_name,run_group,input_scheme,run_name,run_dir,completed_epoch,total_epochs,best_epoch,best_val_macro_f1,status,batch_size,learning_rate,min_learning_rate,weight_decay,scheduler,early_stopping,checkpoint_interval,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,test_loss,all_data_loss,metrics_path,confusion_matrix_path,confusion_matrix_image_path
30,29,7,6,efficientnet_v2_s,efficientnet,stacked_6lead_6lead_longlead,20260622_053346_efficientnet_v2_s_stacked_6lead_6lead_longlead_all_data,runs/all_data_eval/efficientnet/20260622_053346_efficientnet_v2_s_stacked_6lead_6lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9170258620689655,0.9204248807753217,0.91814838281509,0.9260686641092195,0.9204248807753217,,0.2750387392167387,runs/all_data_eval/efficientnet/20260622_053346_efficientnet_v2_s_stacked_6lead_6lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/efficientnet/20260622_053346_efficientnet_v2_s_stacked_6lead_6lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/efficientnet/20260622_053346_efficientnet_v2_s_stacked_6lead_6lead_longlead/plots/all_data_confusion_matrix.png
28,30,6,7,efficientnet_v2_s,efficientnet,stacked_12lead_longlead,20260622_045153_efficientnet_v2_s_stacked_12lead_longlead_all_data,runs/all_data_eval/efficientnet/20260622_045153_efficientnet_v2_s_stacked_12lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9213362068965517,0.9172636880315754,0.9142950571724111,0.9181332342448323,0.9172636880315754,,0.4245721019547561,runs/all_data_eval/efficientnet/20260622_045153_efficientnet_v2_s_stacked_12lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/efficientnet/20260622_045153_efficientnet_v2_s_stacked_12lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/efficientnet/20260622_045153_efficientnet_v2_s_stacked_12lead_longlead/plots/all_data_confusion_matrix.png
32,31,7,7,resnet50,resnet,stacked_6lead_6lead_longlead,20260622_052811_resnet50_stacked_6lead_6lead_longlead_all_data,runs/all_data_eval/resnet/20260622_052811_resnet50_stacked_6lead_6lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9137931034482759,0.9151093306064578,0.9142702164884111,0.920902874229153,0.9151093306064578,,0.3120958171784878,runs/all_data_eval/resnet/20260622_052811_resnet50_stacked_6lead_6lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/resnet/20260622_052811_resnet50_stacked_6lead_6lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/resnet/20260622_052811_resnet50_stacked_6lead_6lead_longlead/plots/all_data_confusion_matrix.png
31,32,9,9,densenet201,densenet,stacked_6lead_6lead_longlead,20260626_050521_densenet201_stacked_6lead_6lead_longlead_all_data,runs/all_data_eval/densenet/20260626_050521_densenet201_stacked_6lead_6lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9148706896551724,0.9155814424630446,0.9120999356160504,0.9127169140465898,0.9155814424630446,,0.2706883968464259,runs/all_data_eval/densenet/20260626_050521_densenet201_stacked_6lead_6lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/densenet/20260626_050521_densenet201_stacked_6lead_6lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/densenet/20260626_050521_densenet201_stacked_6lead_6lead_longlead/plots/all_data_confusion_matrix.png
34,33,10,10,densenet201,densenet,single_long_lead_ii,20260622_212056_densenet201_single_long_lead_ii_all_data,runs/all_data_eval/densenet/20260622_212056_densenet201_single_long_lead_ii,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.8879310344827587,0.8781219816357995,0.8805397182474515,0.889616882874823,0.8781219816357995,,0.5274041250091175,runs/all_data_eval/densenet/20260622_212056_densenet201_single_long_lead_ii/metrics/all_data_metrics.json,runs/all_data_eval/densenet/20260622_212056_densenet201_single_long_lead_ii/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/densenet/20260622_212056_densenet201_single_long_lead_ii/plots/all_data_confusion_matrix.png
36,34,9,8,efficientnet_v2_s,efficientnet,multibranch_12lead_longlead,20260622_015950_efficientnet_v2_s_multibranch_12lead_longlead_all_data,runs/all_data_eval/efficientnet/20260622_015950_efficientnet_v2_s_multibranch_12lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.8793103448275862,0.8753326051296338,0.8790829227414767,0.9071410873743455,0.8753326051296338,,0.387040882146564,runs/all_data_eval/efficientnet/20260622_015950_efficientnet_v2_s_multibranch_12lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/efficientnet/20260622_015950_efficientnet_v2_s_multibranch_12lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/efficientnet/20260622_015950_efficientnet_v2_s_multibranch_12lead_longlead/plots/all_data_confusion_matrix.png
33,35,8,9,efficientnet_v2_s,efficientnet,multibranch_6lead_6lead_longlead,20260622_024206_efficientnet_v2_s_multibranch_6lead_6lead_longlead_all_data,runs/all_data_eval/efficientnet/20260622_024206_efficientnet_v2_s_multibranch_6lead_6lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.8911637931034483,0.8700466013331226,0.8786060915937657,0.9125522435711384,0.8700466013331226,,0.3568076840762434,runs/all_data_eval/efficientnet/20260622_024206_efficientnet_v2_s_multibranch_6lead_6lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/efficientnet/20260622_024206_efficientnet_v2_s_multibranch_6lead_6lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/efficientnet/20260622_024206_efficientnet_v2_s_multibranch_6lead_6lead_longlead/plots/all_data_confusion_matrix.png
35,36,8,8,resnet50,resnet,single_long_lead_ii,20260622_031013_resnet50_single_long_lead_ii_all_data,runs/all_data_eval/resnet/20260622_031013_resnet50_single_long_lead_ii,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.8836206896551724,0.8711519500479291,0.8752827579412461,0.8863290574340453,0.8711519500479291,,0.39787556565013427,runs/all_data_eval/resnet/20260622_031013_resnet50_single_long_lead_ii/metrics/all_data_metrics.json,runs/all_data_eval/resnet/20260622_031013_resnet50_single_long_lead_ii/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/resnet/20260622_031013_resnet50_single_long_lead_ii/plots/all_data_confusion_matrix.png
37,37,10,10,efficientnet_v2_s,efficientnet,single_long_lead_ii,20260622_015058_efficientnet_v2_s_single_long_lead_ii_all_data,runs/all_data_eval/efficientnet/20260622_015058_efficientnet_v2_s_single_long_lead_ii,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.8760775862068966,0.8661592020479022,0.8682601989056977,0.8790312467295318,0.8661592020479022,,0.6084588074992443,runs/all_data_eval/efficientnet/20260622_015058_efficientnet_v2_s_single_long_lead_ii/metrics/all_data_metrics.json,runs/all_data_eval/efficientnet/20260622_015058_efficientnet_v2_s_single_long_lead_ii/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/efficientnet/20260622_015058_efficientnet_v2_s_single_long_lead_ii/plots/all_data_confusion_matrix.png
38,38,10,10,mobilenet_v2,mobilenet,single_long_lead_ii,20260621_194606_mobilenet_v2_single_long_lead_ii_all_data,runs/all_data_eval/mobilenet/20260621_194606_mobilenet_v2_single_long_lead_ii,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.8351293103448276,0.8057304762003522,0.8142984766226204,0.8570464306670935,0.8057304762003522,,0.514254722101935,runs/all_data_eval/mobilenet/20260621_194606_mobilenet_v2_single_long_lead_ii/metrics/all_data_metrics.json,runs/all_data_eval/mobilenet/20260621_194606_mobilenet_v2_single_long_lead_ii/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/mobilenet/20260621_194606_mobilenet_v2_single_long_lead_ii/plots/all_data_confusion_matrix.png
39,39,9,9,resnet50,resnet,multibranch_6lead_6lead_longlead,20260622_040138_resnet50_multibranch_6lead_6lead_longlead_all_data,runs/all_data_eval/resnet/20260622_040138_resnet50_multibranch_6lead_6lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.6476293103448276,0.6089919510346806,0.5779601719945106,0.7873643053738677,0.6089919510346806,,1.3734222600429222,runs/all_data_eval/resnet/20260622_040138_resnet50_multibranch_6lead_6lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/resnet/20260622_040138_resnet50_multibranch_6lead_6lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/resnet/20260622_040138_resnet50_multibranch_6lead_6lead_longlead/plots/all_data_confusion_matrix.png
40,40,10,10,resnet50,resnet,multibranch_12lead_longlead,20260622_031852_resnet50_multibranch_12lead_longlead_all_data,runs/all_data_eval/resnet/20260622_031852_resnet50_multibranch_12lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.5043103448275862,0.47550279505770904,0.442757943488577,0.7739044233556565,0.47550279505770904,,1.5928196300720345,runs/all_data_eval/resnet/20260622_031852_resnet50_multibranch_12lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/resnet/20260622_031852_resnet50_multibranch_12lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/resnet/20260622_031852_resnet50_multibranch_12lead_longlead/plots/all_data_confusion_matrix.png
