global_rank_accuracy,global_rank_macro_f1,model_rank_accuracy,model_rank_macro_f1,model_name,run_group,input_scheme,run_name,run_dir,completed_epoch,total_epochs,best_epoch,best_val_macro_f1,status,batch_size,learning_rate,min_learning_rate,weight_decay,scheduler,early_stopping,checkpoint_interval,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,test_loss,all_data_loss,metrics_path,confusion_matrix_path,confusion_matrix_image_path
11,11,3,3,efficientnet_v2_s,efficientnet,single_raw_image,20260622_001937_efficientnet_v2_s_single_raw_image_all_data,runs/all_data_eval/efficientnet/20260622_001937_efficientnet_v2_s_single_raw_image,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9633620689655172,0.9597693289873996,0.9613502834221141,0.964664592570019,0.9597693289873996,,0.20271409508483162,runs/all_data_eval/efficientnet/20260622_001937_efficientnet_v2_s_single_raw_image/metrics/all_data_metrics.json,runs/all_data_eval/efficientnet/20260622_001937_efficientnet_v2_s_single_raw_image/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/efficientnet/20260622_001937_efficientnet_v2_s_single_raw_image/plots/all_data_confusion_matrix.png
12,12,2,2,resnet50,resnet,stacked_13lead_individual,20260622_060902_resnet50_stacked_13lead_individual_all_data,runs/all_data_eval/resnet/20260622_060902_resnet50_stacked_13lead_individual,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9601293103448276,0.9609468996354624,0.9609813816435722,0.9625230757903043,0.9609468996354624,,0.1888955331824977,runs/all_data_eval/resnet/20260622_060902_resnet50_stacked_13lead_individual/metrics/all_data_metrics.json,runs/all_data_eval/resnet/20260622_060902_resnet50_stacked_13lead_individual/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/resnet/20260622_060902_resnet50_stacked_13lead_individual/plots/all_data_confusion_matrix.png
13,13,4,4,efficientnet_v2_s,efficientnet,single_clean_image,20260622_004141_efficientnet_v2_s_single_clean_image_all_data,runs/all_data_eval/efficientnet/20260622_004141_efficientnet_v2_s_single_clean_image,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9601293103448276,0.9603750443254404,0.9598714956073799,0.9610076541359719,0.9603750443254404,,0.13415773765280328,runs/all_data_eval/efficientnet/20260622_004141_efficientnet_v2_s_single_clean_image/metrics/all_data_metrics.json,runs/all_data_eval/efficientnet/20260622_004141_efficientnet_v2_s_single_clean_image/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/efficientnet/20260622_004141_efficientnet_v2_s_single_clean_image/plots/all_data_confusion_matrix.png
14,14,4,4,mobilenet_v2,mobilenet,stacked_12lead_longlead,20260621_215443_mobilenet_v2_stacked_12lead_longlead_all_data,runs/all_data_eval/mobilenet/20260621_215443_mobilenet_v2_stacked_12lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9579741379310345,0.9509749467643276,0.9533538061218678,0.957864207051438,0.9509749467643276,,0.25301708345269336,runs/all_data_eval/mobilenet/20260621_215443_mobilenet_v2_stacked_12lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/mobilenet/20260621_215443_mobilenet_v2_stacked_12lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/mobilenet/20260621_215443_mobilenet_v2_stacked_12lead_longlead/plots/all_data_confusion_matrix.png
16,15,5,5,densenet201,densenet,multibranch_12lead_longlead,20260622_213446_densenet201_multibranch_12lead_longlead_all_data,runs/all_data_eval/densenet/20260622_213446_densenet201_multibranch_12lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.947198275862069,0.9486652506798459,0.9483486328490761,0.949230902865506,0.9486652506798459,,0.19836133178965798,runs/all_data_eval/densenet/20260622_213446_densenet201_multibranch_12lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/densenet/20260622_213446_densenet201_multibranch_12lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/densenet/20260622_213446_densenet201_multibranch_12lead_longlead/plots/all_data_confusion_matrix.png
15,16,5,5,mobilenet_v2,mobilenet,single_raw_image,20260621_183351_mobilenet_v2_single_raw_image_all_data,runs/all_data_eval/mobilenet/20260621_183351_mobilenet_v2_single_raw_image,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9482758620689655,0.9480269053710437,0.9439698748549625,0.9431587953127554,0.9480269053710437,,0.22983605555933098,runs/all_data_eval/mobilenet/20260621_183351_mobilenet_v2_single_raw_image/metrics/all_data_metrics.json,runs/all_data_eval/mobilenet/20260621_183351_mobilenet_v2_single_raw_image/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/mobilenet/20260621_183351_mobilenet_v2_single_raw_image/plots/all_data_confusion_matrix.png
17,17,3,3,resnet50,resnet,stacked_12lead_longlead,20260622_044727_resnet50_stacked_12lead_longlead_all_data,runs/all_data_eval/resnet/20260622_044727_resnet50_stacked_12lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9461206896551724,0.9437939813111644,0.9405199886124711,0.9412368950084627,0.9437939813111644,,0.2904472592575797,runs/all_data_eval/resnet/20260622_044727_resnet50_stacked_12lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/resnet/20260622_044727_resnet50_stacked_12lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/resnet/20260622_044727_resnet50_stacked_12lead_longlead/plots/all_data_confusion_matrix.png
18,18,4,4,resnet50,resnet,multibranch_13lead_individual,20260622_044722_resnet50_multibranch_13lead_individual_all_data,runs/all_data_eval/resnet/20260622_044722_resnet50_multibranch_13lead_individual,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9407327586206896,0.9405521319558253,0.9401183174079483,0.9433812126597222,0.9405521319558253,,0.22877552013458877,runs/all_data_eval/resnet/20260622_044722_resnet50_multibranch_13lead_individual/metrics/all_data_metrics.json,runs/all_data_eval/resnet/20260622_044722_resnet50_multibranch_13lead_individual/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/resnet/20260622_044722_resnet50_multibranch_13lead_individual/plots/all_data_confusion_matrix.png
20,19,6,6,mobilenet_v2,mobilenet,stacked_6lead_6lead_longlead,20260621_223239_mobilenet_v2_stacked_6lead_6lead_longlead_all_data,runs/all_data_eval/mobilenet/20260621_223239_mobilenet_v2_stacked_6lead_6lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9364224137931034,0.9366283742955683,0.936397333926015,0.940514795915066,0.9366283742955683,,0.2911458797752857,runs/all_data_eval/mobilenet/20260621_223239_mobilenet_v2_stacked_6lead_6lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/mobilenet/20260621_223239_mobilenet_v2_stacked_6lead_6lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/mobilenet/20260621_223239_mobilenet_v2_stacked_6lead_6lead_longlead/plots/all_data_confusion_matrix.png
19,20,6,6,densenet201,densenet,multibranch_6lead_6lead_longlead,20260622_222833_densenet201_multibranch_6lead_6lead_longlead_all_data,runs/all_data_eval/densenet/20260622_222833_densenet201_multibranch_6lead_6lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9375,0.9321757390700142,0.9359252768472626,0.9478609141336753,0.9321757390700142,,0.1871153211285328,runs/all_data_eval/densenet/20260622_222833_densenet201_multibranch_6lead_6lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/densenet/20260622_222833_densenet201_multibranch_6lead_6lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/densenet/20260622_222833_densenet201_multibranch_6lead_6lead_longlead/plots/all_data_confusion_matrix.png
23,21,8,7,densenet201,densenet,single_12_lead,20260622_203908_densenet201_single_12_lead_all_data,runs/all_data_eval/densenet/20260622_203908_densenet201_single_12_lead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9288793103448276,0.9291349162150285,0.9296889563711188,0.9356681965076125,0.9291349162150285,,0.33027149479964685,runs/all_data_eval/densenet/20260622_203908_densenet201_single_12_lead/metrics/all_data_metrics.json,runs/all_data_eval/densenet/20260622_203908_densenet201_single_12_lead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/densenet/20260622_203908_densenet201_single_12_lead/plots/all_data_confusion_matrix.png
21,22,5,5,resnet50,resnet,single_12_lead,20260622_023520_resnet50_single_12_lead_all_data,runs/all_data_eval/resnet/20260622_023520_resnet50_single_12_lead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9331896551724138,0.9324958384949908,0.9293474517517714,0.9335903059511595,0.9324958384949908,,0.37813874552475996,runs/all_data_eval/resnet/20260622_023520_resnet50_single_12_lead/metrics/all_data_metrics.json,runs/all_data_eval/resnet/20260622_023520_resnet50_single_12_lead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/resnet/20260622_023520_resnet50_single_12_lead/plots/all_data_confusion_matrix.png
24,23,7,7,mobilenet_v2,mobilenet,multibranch_6lead_6lead_longlead,20260621_202732_mobilenet_v2_multibranch_6lead_6lead_longlead_all_data,runs/all_data_eval/mobilenet/20260621_202732_mobilenet_v2_multibranch_6lead_6lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.927801724137931,0.9240315299687151,0.9281183507973477,0.9359472520792103,0.9240315299687151,,0.21478920686861563,runs/all_data_eval/mobilenet/20260621_202732_mobilenet_v2_multibranch_6lead_6lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/mobilenet/20260621_202732_mobilenet_v2_multibranch_6lead_6lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/mobilenet/20260621_202732_mobilenet_v2_multibranch_6lead_6lead_longlead/plots/all_data_confusion_matrix.png
22,24,7,8,densenet201,densenet,stacked_12lead_longlead,20260626_041835_densenet201_stacked_12lead_longlead_all_data,runs/all_data_eval/densenet/20260626_041835_densenet201_stacked_12lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9321120689655172,0.9274021169842712,0.9252434865388632,0.9294171196213475,0.9274021169842712,,0.27799521553619155,runs/all_data_eval/densenet/20260626_041835_densenet201_stacked_12lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/densenet/20260626_041835_densenet201_stacked_12lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/densenet/20260626_041835_densenet201_stacked_12lead_longlead/plots/all_data_confusion_matrix.png
25,25,6,6,resnet50,resnet,single_clean_image,20260622_015647_resnet50_single_clean_image_all_data,runs/all_data_eval/resnet/20260622_015647_resnet50_single_clean_image,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.927801724137931,0.9276862602107325,0.9245002314133213,0.9265183961882142,0.9276862602107325,,0.33842932188819197,runs/all_data_eval/resnet/20260622_015647_resnet50_single_clean_image/metrics/all_data_metrics.json,runs/all_data_eval/resnet/20260622_015647_resnet50_single_clean_image/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/resnet/20260622_015647_resnet50_single_clean_image/plots/all_data_confusion_matrix.png
29,26,9,8,mobilenet_v2,mobilenet,multibranch_12lead_longlead,20260621_195109_mobilenet_v2_multibranch_12lead_longlead_all_data,runs/all_data_eval/mobilenet/20260621_195109_mobilenet_v2_multibranch_12lead_longlead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9191810344827587,0.9173553063428999,0.9241305718366973,0.9375799008912888,0.9173553063428999,,0.28136999365584603,runs/all_data_eval/mobilenet/20260621_195109_mobilenet_v2_multibranch_12lead_longlead/metrics/all_data_metrics.json,runs/all_data_eval/mobilenet/20260621_195109_mobilenet_v2_multibranch_12lead_longlead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/mobilenet/20260621_195109_mobilenet_v2_multibranch_12lead_longlead/plots/all_data_confusion_matrix.png
27,27,5,5,efficientnet_v2_s,efficientnet,single_12_lead,20260622_011456_efficientnet_v2_s_single_12_lead_all_data,runs/all_data_eval/efficientnet/20260622_011456_efficientnet_v2_s_single_12_lead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9245689655172413,0.9227753988795558,0.9235626202102631,0.932197034891018,0.9227753988795558,,0.26490334549854544,runs/all_data_eval/efficientnet/20260622_011456_efficientnet_v2_s_single_12_lead/metrics/all_data_metrics.json,runs/all_data_eval/efficientnet/20260622_011456_efficientnet_v2_s_single_12_lead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/efficientnet/20260622_011456_efficientnet_v2_s_single_12_lead/plots/all_data_confusion_matrix.png
26,28,8,9,mobilenet_v2,mobilenet,single_12_lead,20260621_191657_mobilenet_v2_single_12_lead_all_data,runs/all_data_eval/mobilenet/20260621_191657_mobilenet_v2_single_12_lead,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9256465517241379,0.9269022409781601,0.9230570137280011,0.9270294666864053,0.9269022409781601,,0.28215262807648755,runs/all_data_eval/mobilenet/20260621_191657_mobilenet_v2_single_12_lead/metrics/all_data_metrics.json,runs/all_data_eval/mobilenet/20260621_191657_mobilenet_v2_single_12_lead/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/mobilenet/20260621_191657_mobilenet_v2_single_12_lead/plots/all_data_confusion_matrix.png
