model_name,num_runs,best_accuracy,best_accuracy_input_scheme,best_accuracy_run_dir,best_macro_f1,best_macro_f1_input_scheme,best_macro_f1_run_dir
densenet201,10,0.9892241379310345,multibranch_13lead_individual,runs/all_data_eval/densenet/20260622_232928_densenet201_multibranch_13lead_individual,0.9885611684405206,multibranch_13lead_individual,runs/all_data_eval/densenet/20260622_232928_densenet201_multibranch_13lead_individual
efficientnet_v2_s,10,0.9989224137931034,multibranch_13lead_individual,runs/all_data_eval/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual,0.9987377279102384,multibranch_13lead_individual,runs/all_data_eval/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual
mobilenet_v2,10,0.9859913793103449,multibranch_13lead_individual,runs/all_data_eval/mobilenet/20260621_210532_mobilenet_v2_multibranch_13lead_individual,0.9859610981800337,multibranch_13lead_individual,runs/all_data_eval/mobilenet/20260621_210532_mobilenet_v2_multibranch_13lead_individual
resnet50,10,0.9730603448275862,single_raw_image,runs/all_data_eval/resnet/20260622_013326_resnet50_single_raw_image,0.9709770625225137,single_raw_image,runs/all_data_eval/resnet/20260622_013326_resnet50_single_raw_image
